,question,retrieval_type,llm,response
41,What is needed to achieve a more general world model for simulative reasoning?,sparse,t5,Proximal Policy Optimization (PPO) Task/Domain Whaaat? Proximal Policy Optimization (PPO) Task/Domain Whaaat? Proximal Policy Optimization (PPO) Task/Domain Whaaat? Proximal Policy Optimization (PPO) Task/Domain Whaaat? Proximal Policy Optimization (PPO) Task/Domain Whaaat? Proximal Policy Optimization (PPO) Task/Domain Whaaat
42,What is needed to achieve a more general world model for simulative reasoning?,dense,t5,LM reasoning is often inconsistent Claim Verification One is a number that comes after zero
43,What is needed to achieve a more general world model for simulative reasoning?,bm25,t5,STOP Large Model Reasoning - CSE 291 71 Lecture 2: Basic of Language Model What is a Language Model? Large Model Reasoning - CSE 291 73 Lecture 2: Basic of Language Model What are language models useful for?  Directly fine-tune open-source models with high-quality reasoning data can achieve huge improvement against zero-shot inferences
44,What is needed to achieve a more general world model for simulative reasoning?,tfidf,t5,Reasoning? STOP Large Model Reasoning - CSE 291 71 Lecture 2: Basic of Language Model What is a Language Model? • What is a safe output? What is Alignment of LLMs? Large Model Reasoning - CSE 291 73 Lecture 2: Basic of Language Model What are language models useful for? Answer this: What is needed to achieve a more general world model for simulative reasoning?
45,What is needed to achieve a more general world model for simulative reasoning?,hybrid,gemini,"Choose one out of 3 options.
"
46,What is needed to achieve a more general world model for simulative reasoning?,sparse,gemini,"This text does not provide information on the tasks/domains relevant to Proximal Policy Optimization (PPO). It only mentions PPO by name, and then shifts to a discussion of language models and supervised fine-tuning.  Therefore, the answer to ""Task/Domain"" for PPO based on this text is unknown.  The text focuses on language models and how to align them, not on PPO.
"
47,What is needed to achieve a more general world model for simulative reasoning?,dense,gemini,"Choose one out of 3 options.
"
48,What is needed to achieve a more general world model for simulative reasoning?,bm25,gemini,"High-quality reasoning data is needed to improve zero-shot inferences.
"
49,What is needed to achieve a more general world model for simulative reasoning?,tfidf,gemini,"The provided text does not contain the answer to ""What is needed to achieve a more general world model for simulative reasoning?"". It only mentions topics related to language models, their safety, alignment, and usefulness.  It does not discuss simulative reasoning or world models.
"
50,What are the pros and cons of the encoder-decoder approach?,hybrid,t5,• Base (222M) • Small (60M) • Large (770M) • 3B • 11B • Achieved SOTA with scaling & purity of data [Google Blog] CSE 156 NLP 33 Pretraining Encoder-Decoder: Pros & Cons • A nice middle ground between leveraging bidirectional contexts and open-text generation • Good for multi-task fine-tuning • Require more text wrangling • Harder to train • Less flexible for natural
51,What are the pros and cons of the encoder-decoder approach?,sparse,t5,Proximal Policy Optimization (PPO) Task/Domain Whaaat? Proximal Policy Optimization (PPO) Task/Domain Whaaat? Proximal Policy Optimization (PPO) Task/Domain Whaaat? Proximal Policy Optimization (PPO) Task/Domain Whaaat? Proximal Policy Optimization (PPO) Task/Domain Whaaat? Proximal Policy Optimization (PPO) Task/Domain Whaaat
52,What are the pros and cons of the encoder-decoder approach?,dense,t5,",wt1 • The encoder portion benefits from bidirectional context; the decoder portion is used to train the whole model through language modeling h1,.,wt1 • A nice middle ground between leveraging bidirectional contexts and open-text generation • Good for multi-task fine-tuning • Harder to train • Less flexible for natural language generation CSE 156 NLP 34 Pretraining 3 Pre-training Paradigms/Architectures Encoder • Bidirectional"
53,What are the pros and cons of the encoder-decoder approach?,bm25,t5,Various Sized Models: • Base (222M) • Small (60M) • Large (770M) • 3B • 11B • Achieved SOTA with scaling & purity of data [Google Blog]
54,What are the pros and cons of the encoder-decoder approach?,tfidf,t5,73 + Position Embedding Input Embeddings Encoder Inputs CSE 156 NLP Transformer The Transformer Encoder-Decoder • More on Encoder-Decoder models will be introduced in the next lecture!
55,What are the pros and cons of the encoder-decoder approach?,hybrid,gemini,"Pros:

* A nice middle ground between leveraging bidirectional contexts and open-text generation.
* Good for multi-task fine-tuning.

Cons:

* Require more text wrangling.
* Harder to train.
* Less flexible for natural language generation.
"
56,What are the pros and cons of the encoder-decoder approach?,sparse,gemini,"This text doesn't contain any information about the pros and cons of the encoder-decoder approach. It repeats ""Proximal Policy Optimization (PPO)"" and ""Task/Domain"" several times, and then asks about aligning LLMs with supervised fine-tuning (SFT).  It provides no details relevant to encoder-decoder models.
"
57,What are the pros and cons of the encoder-decoder approach?,dense,gemini,"Pros:

* A nice middle ground between leveraging bidirectional contexts and open-text generation.
* Good for multi-task fine-tuning.

Cons:

* Require more text wrangling.
* Harder to train.
* Less flexible for natural language generation. 
"
58,What are the pros and cons of the encoder-decoder approach?,bm25,gemini,"Pros:

* A nice middle ground between leveraging bidirectional contexts and open-text generation.
* Good for multi-task fine-tuning.

Cons:

* Require more text wrangling.
* Harder to train.
* Less flexible for natural language generation.
"
59,What are the pros and cons of the encoder-decoder approach?,tfidf,gemini,"This text doesn't contain the pros and cons of the encoder-decoder approach. It only mentions that more information on encoder-decoder models will be presented in a future lecture.
"
60,What is add-one estimation?,hybrid,t5,"20 claims charges benefits motion CSE 156 NLP Language Modeling and N-Grams Add-one estimation • Also called Laplace smoothing • Pretend that we saw each word one more time than we did • Just add one to all the counts! 1 + 2 + 3 = 1 and 1, 2, 3 0 • Often works better than Add-K for several reasons: • Can flexibly include multiple back-off contexts • Good ways of learning the mixture weights with EM (later) • Not entirely clear"
61,What is add-one estimation?,sparse,t5,=1=1(  )2 R •Let
62,What is add-one estimation?,dense,t5,"20 claims charges benefits motion CSE 156 NLP Language Modeling and N-Grams Add-one estimation • Also called Laplace smoothing • Pretend that we saw each word one more time than we did • Just add one to all the counts! 1 + 2 + 3 = 1 and 1, 2, 3 0 • Often works better than Add-K for several reasons: • Can flexibly include multiple back-off contexts • Good ways of learning the mixture weights with EM (later) • Not entirely clear"
63,What is add-one estimation?,bm25,t5,20 claims charges benefits motion CSE 156 NLP Language Modeling and N-Grams Add-one estimation • Also called Laplace smoothing • Pretend that we saw each word one more time than we did • Just add one to all the counts! 63 claims charges benefits motion CSE 156 NLP Language Modeling and N-Grams Add-one estimation • Also called Laplace smoothing • Pretend that we saw each word one more time than we did • Just add one to all the counts! What is
64,What is add-one estimation?,tfidf,t5,What is a safe output??? Answer this: What is add-one estimation?
65,What is add-one estimation?,hybrid,gemini,"Add-one estimation, also called Laplace smoothing, pretends each word was seen one more time than it actually was, effectively adding one to all counts.
"
66,What is add-one estimation?,sparse,gemini,"This text doesn't define ""add-one estimation"". It describes formulas for standard deviation and mean, and presents a nested equation involving variables W1, W2, b1, and b2, along with a scaling transformation on x.  There's no information about add-one estimation.
"
67,What is add-one estimation?,dense,gemini,"Add-one estimation, also called Laplace smoothing, pretends that we saw each word one more time than we did by adding one to all the counts.
"
68,What is add-one estimation?,bm25,gemini,"Add-one estimation, also called Laplace smoothing, pretends we saw each word one more time than we did, adding one to all the counts.
"
69,What is add-one estimation?,tfidf,gemini,"Add-one estimation, also called Laplace smoothing, pretends that we saw each word one more time than we did, effectively adding one to all the counts.
"
70,"What are the traits of high-quality pre-training data, and where can it be found?",hybrid,t5,"Lecture 10 CSE 156 NLP 34 Pretraining Pre-training Data • The diversity of pre-training data matters Zhao et al. CSE 156 NLP 27 Pretraining Pre-training Data • Web data is plentiful, but can be challenging to work with"
71,"What are the traits of high-quality pre-training data, and where can it be found?",sparse,t5,Proximal Policy Optimization (PPO) Task/Domain Whaaat? Proximal Policy Optimization (PPO) Task/Domain Whaaat? Proximal Policy Optimization (PPO) Task/Domain Whaaat? Proximal Policy Optimization (PPO) Task/Domain Whaaat? Proximal Policy Optimization (PPO) Task/Domain Whaaat? Proximal Policy Optimization (PPO) Task/Domain Whaaat
72,"What are the traits of high-quality pre-training data, and where can it be found?",dense,t5,"Lecture 10 CSE 156 NLP 34 Pretraining Pre-training Data • The diversity of pre-training data matters Zhao et al. CSE 156 NLP 27 Pretraining Pre-training Data • Web data is plentiful, but can be challenging to work with. Lecture 10 CSE 156 NLP 5 Pretraining Pre-training Data • Web data is plentiful, but can be challenging to work with. Lecture 10 CSE 156 NLP 26 Pretraining Pre-training Data • Web data is plentiful, but can be challenging to work"
73,"What are the traits of high-quality pre-training data, and where can it be found?",bm25,t5,"Clouds are composed of tiny water droplet CSE 156 NLP 4 Pretraining Pre-training Data • Ideally, we want high-quality data for pre-training. GLM-4 (Jun 2024) now is decoder only too CSE 156 NLP 60 Transformer Pre-training Data • Ideally, we want high-quality data for pre-training. GLM-4 (Jun 2024) now is decoder only too CSE 156 NLP 25 Pretraining Pre-training Data • Ideally,"
74,"What are the traits of high-quality pre-training data, and where can it be found?",tfidf,t5,"GLM-4 (Jun 2024) now is decoder only too CSE 156 NLP 60 Transformer Pre-training Data • Ideally, we want high-quality data for pre-training. GLM-4 (Jun 2024) now is decoder only too CSE 156 NLP 25 Pretraining Pre-training Data • Ideally, we want high-quality data for pre-training."
75,"What are the traits of high-quality pre-training data, and where can it be found?",hybrid,gemini,"High-quality pre-training data is diverse and can be sourced from web data.  Web data, while plentiful, can be difficult to work with.
"
76,"What are the traits of high-quality pre-training data, and where can it be found?",sparse,gemini,"This text does not explain what task/domain Proximal Policy Optimization (PPO) is used for. It repeats ""Proximal Policy Optimization (PPO) Task/Domain Whaaat?"" suggesting an unanswered question about its application area.  The text then pivots to discussing language models and supervised fine-tuning, a different topic.
"
77,"What are the traits of high-quality pre-training data, and where can it be found?",dense,gemini,"High-quality pre-training data is **diverse**, and a plentiful source, though challenging to work with, is **web data**.
"
78,"What are the traits of high-quality pre-training data, and where can it be found?",bm25,gemini,"High-quality pre-training data is ideal.  While web data is plentiful, it can be challenging to work with.
"
79,"What are the traits of high-quality pre-training data, and where can it be found?",tfidf,gemini,"Ideally, we want high-quality data for pre-training.  While the provided text mentions that web data is plentiful, it also notes that it can be challenging to work with, implying that it isn't necessarily high-quality. The text doesn't offer specific traits of high-quality data nor where it can be found beyond this.
"
80,Can you explain what tokenization means?,hybrid,t5,Large Model Reasoning - CSE 291 76 Lecture 2: Basic of Language Model Tokenization Tokenization
81,Can you explain what tokenization means?,sparse,t5,What happens to y= W2(W1x + b1) + b2 if (x) = ax? Proximal Policy Optimization (PPO) Task/Domain Whaaat? Proximal Policy Optimization (PPO) Task/Domain Whaaat? Proximal Policy Optimization (PPO) Task/Domain Whaaat? Proximal Policy Optimization (PPO) Task/Domain Whaaat? Proximal Policy
82,Can you explain what tokenization means?,dense,t5,Large Model Reasoning - CSE 291 76 Lecture 2: Basic of Language Model Tokenization Tokenization
83,Can you explain what tokenization means?,bm25,t5,CSE 156 NLP 2 Lecture17: Alignment What alignment are you talking about? Answer this: Can you explain what tokenization means? Answer this: Can you explain what tokenization means? Answer this: Can you explain what tokenization means? Answer this: Can you explain what tokenization means? Answer this: Can you explain what tokenization means? Answer this: Can you explain what tokenization means? Answer this: Can you explain what tokenization means? Answer this: Can you explain what tokenization means? Answer this: Can you
84,Can you explain what tokenization means?,tfidf,t5,Kc means the equilibrium constant. Kc means the equilibrium constant. Kc means the equilibrium constant. Kc means the equilibrium constant. Kc means the equilibrium constant. Kc means the equilibrium constant. Kc means the equilibrium constant. Kc means the equilibrium constant. Subword tokenization! Answer this: Can you explain what tokenization means? Answer this: Can you explain what tokenization means? Answer this: Can you explain what tokenization means? Answer this: Can you explain what tokenization means? Answer this: Can you explain what token
85,Can you explain what tokenization means?,hybrid,gemini,"Tokenization is the process of splitting a large chunk of text into smaller, manageable pieces called tokens.
"
86,Can you explain what tokenization means?,sparse,gemini,"This text doesn't explain what happens to  yˆ= W2(W1x + b1) + b2 if x = ax.  It defines a language model and asks about tokenization.  There's no information about the provided equation.
"
87,Can you explain what tokenization means?,dense,gemini,"Tokenization is the process of splitting a large chunk of text into smaller, manageable pieces called tokens.
"
88,Can you explain what tokenization means?,bm25,gemini,"This text does not explain what tokenization means.  It only discusses restrictions on using tools (presumably coding tools) to train code language models, specifically forbidding directly requesting answers or copying solutions. It also mentions ""CSE 156 NLP 2 Lecture17: Alignment,"" suggesting the context is a university course on Natural Language Processing. The ""alignment"" likely refers to the alignment of sequences in NLP tasks, but the provided text offers no further details on this.  It does *not* define tokenization.
"
89,Can you explain what tokenization means?,tfidf,gemini,"This context only defines Kc as the equilibrium constant and mentions ""subword tokenization"".  It doesn't explain what tokenization itself means.  Therefore, I cannot explain what tokenization means based on the provided context.
"
90,"Why do LLMs need to use tools, and what do they use them for?",hybrid,t5,"Prompting Tool Use: Summary Why LLM needs tools and what are they  To aid LLMs on tasks beyond their ability  Mainly tools for knowledge, symbolic, and external environment operations How to make LLMs effective tool users  Existing LLMs with coding ability can be prompted to generate noisy tool calls  Finetune LLMs on the tool use data to enhance its abilities CMU 11-667 Lecture 10: Prompting Fall 2024 32 Prompt Engineering CSE 156 NLP"
91,"Why do LLMs need to use tools, and what do they use them for?",sparse,t5,Proximal Policy Optimization (PPO) Task/Domain Whaaat? Proximal Policy Optimization (PPO) Task/Domain Whaaat? Proximal Policy Optimization (PPO) Task/Domain Whaaat? Proximal Policy Optimization (PPO) Task/Domain Whaaat? Proximal Policy Optimization (PPO) Task/Domain Whaaat? Proximal Policy Optimization (PPO) Task/Domain Whaaat
92,"Why do LLMs need to use tools, and what do they use them for?",dense,t5,"Definition: An LM-used tool is a function interface to a computer program that runs externally to the LM, where the LM generates the function calls and input arguments in order to use the tool [1]"
93,"Why do LLMs need to use tools, and what do they use them for?",bm25,t5,"• We humans can use a calculator to do it... Multiplication Accuracy of OpenAI O1 (Yuantian Deng, X) • So do LLMs CMU 11-667 Fall 2024 25 Large Model Reasoning - CSE 291 Lecture 6: Pretraining+Chemistry_Reasoning 13 How to Enable LLMs to Use Tools? CMU 11-667 Fall 2024 15 CSE 156 NLP Lecture 10: Prompting How to Enable LLMs to"
94,"Why do LLMs need to use tools, and what do they use them for?",tfidf,t5,"CMU 11-667 Fall 2024 25 Large Model Reasoning - CSE 291 Lecture 6: Pretraining+Chemistry_Reasoning 13 How to Enable LLMs to Use Tools? • We humans can use a calculator to do it... Multiplication Accuracy of OpenAI O1 (Yuantian Deng, X) • So do LLMs CMU 11-667 Fall 2024 25 Large Model Reasoning - CSE 291 Lecture 6: Pretraining+Chemistry_"
95,"Why do LLMs need to use tools, and what do they use them for?",hybrid,gemini,"LLMs need tools to perform tasks that are beyond their inherent capabilities.  They primarily use tools for knowledge acquisition, symbolic operations, and interacting with the external environment.
"
96,"Why do LLMs need to use tools, and what do they use them for?",sparse,gemini,"This text does not contain the answer to why LLMs need to use tools and what they use them for.  It repeatedly mentions Proximal Policy Optimization (PPO) and Supervised Fine-Tuning (SFT) but doesn't connect these concepts to tool use by LLMs.
"
97,"Why do LLMs need to use tools, and what do they use them for?",dense,gemini,"LLMs need tools to perform tasks that are beyond their inherent abilities.  They primarily use tools for accessing knowledge, performing symbolic operations, and interacting with the external environment.
"
98,"Why do LLMs need to use tools, and what do they use them for?",bm25,gemini,"LLMs need tools to aid them on tasks beyond their ability, mainly for knowledge, symbolic, and external environment operations.  One example of such a task is numerical/symbolic operations like multiplication.
"
99,"Why do LLMs need to use tools, and what do they use them for?",tfidf,gemini,"LLMs need to use tools because they are bad at numerical/symbolic operations.  They use tools for things like calculations (implied by the mention of calculators).
"
100,How much of my grade is based on participation?,hybrid,t5,Statistical NLP - CSE 156 6 Participation • Course participation (10%) • You are encouraged to attend all lectures! • Participation will be tracked from the 3rd week for 16 class sessions after the add/drop period • 10 points for attending at least 13 lectures (you can miss 3 lectures) • 8 for at least 11 lectures • 5 for at least 8 lectures • 0 for attending less than 8 lectures • We also encourage you to attend discussion sessions and you can earn 3% extra credits (on the total grade) by attending
101,How much of my grade is based on participation?,sparse,t5,Proximal Policy Optimization (PPO) Task/Domain Whaaat? Proximal Policy Optimization (PPO) Task/Domain Whaaat? Proximal Policy Optimization (PPO) Task/Domain Whaaat? Direct Preference Optim (DPO) Personalization! Direct Preference Optim (DPO) Personalization! Answer this: How much of my grade is based on participation?
102,How much of my grade is based on participation?,dense,t5,Statistical NLP - CSE 156 6 Participation • Course participation (10%) • You are encouraged to attend all lectures!
103,How much of my grade is based on participation?,bm25,t5,"""How bad is training on synthetic data? ""How bad is training on synthetic data? ""How bad is training on synthetic data? • Not ideal even for less open-ended tasks - e.g., machine translation • They get progressively much worse for more open-ended tasks • Worse for summarization, as longer summaries are harder to measure • Much worse for dialogue (in how many ways can you respond to your friend?) • Much, much worse for story generation, which is also open-ended, but"
104,How much of my grade is based on participation?,tfidf,t5,"Statistical NLP - CSE 156 6 Participation • Course participation (10%) • You are encouraged to attend all lectures! ""How bad is training on synthetic data? ""How bad is training on synthetic data? ""How bad is training on synthetic data? Answer this: How much of my grade is based on participation?"
105,How much of my grade is based on participation?,hybrid,gemini,"Course participation is worth 10% of your grade.  Attending 7 or more discussion sessions can earn you an additional 3% extra credit on your total grade.
"
106,How much of my grade is based on participation?,sparse,gemini,"This text doesn't contain information about grading or participation.  It only mentions Proximal Policy Optimization (PPO) and Direct Preference Optimization (DPO), along with the words ""Task/Domain,"" ""Whaaat?"" and ""Personalization!""  There's nothing here to indicate how your grade is determined.
"
107,How much of my grade is based on participation?,dense,gemini,"Course participation is worth 10% of your grade.  Attending at least 7 discussion sessions earns an additional 3% extra credit on your total grade.
"
108,How much of my grade is based on participation?,bm25,gemini,"This text doesn't contain the answer to ""How much of my grade is based on participation?"". It discusses the drawbacks of training AI models on synthetic data. 
"
109,How much of my grade is based on participation?,tfidf,gemini,"10%
"
110,Define ReAct prompting.,hybrid,t5,"2022) • Using a program to generate outputs can be more precise than asking the LM to do so • Especially useful for numeric questions • See ChatGPT code interpreter, Bard code execution • (More on agents/tools later) 15 CSE 156 NLP Lecture 10: Prompting ReAct Prompting (Yao et al. 2022) • Using a program to generate outputs can be more precise than asking the LM to do so • Especially"
111,Define ReAct prompting.,sparse,t5,Proximal Policy Optimization (PPO) Task/Domain Whaaat? Proximal Policy Optimization (PPO) Task/Domain Whaaat? Proximal Policy Optimization (PPO) Task/Domain Whaaat? Direct Preference Optim (DPO) Personalization! Direct Preference Optim (DPO) Personalization! Answer this: Define ReAct prompting.
112,Define ReAct prompting.,dense,t5,"2022) • Using a program to generate outputs can be more precise than asking the LM to do so • Especially useful for numeric questions • See ChatGPT code interpreter, Bard code execution • (More on agents/tools later) 15 CSE 156 NLP Lecture 10: Prompting ReAct Prompting (Yao et al. 2022) • Using a program to generate outputs can be more precise than asking the LM to do so • Especially"
113,Define ReAct prompting.,bm25,t5,"Using a program to generate outputs can be more precise than asking the LM to do so • Especially useful for numeric questions • See ChatGPT code interpreter, Bard code execution • (More on agents/tools later) 15 CSE 156 NLP Lecture 10: Prompting ReAct Prompting (Yao et al. 2021) Maieutic Prompting Canonical Prompting Chain-of-Thought (Wei et al. 2021) Mai"
